"","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Developer"
"1","Wii Sports","Wii",2006,"Sports","Nintendo",41.36,28.96,3.77,8.45,82.53,"Nintendo"
"3","Mario Kart Wii","Wii",2008,"Racing","Nintendo",15.68,12.76,3.79,3.29,35.52,"Nintendo"
"4","Wii Sports Resort","Wii",2009,"Sports","Nintendo",15.61,10.93,3.28,2.95,32.77,"Nintendo"
"7","New Super Mario Bros.","DS",2006,"Platform","Nintendo",11.28,9.14,6.5,2.88,29.8,"Nintendo"
"8","Wii Play","Wii",2006,"Misc","Nintendo",13.96,9.18,2.93,2.84,28.92,"Nintendo"
"9","New Super Mario Bros. Wii","Wii",2009,"Platform","Nintendo",14.44,6.94,4.7,2.24,28.32,"Nintendo"
"12","Mario Kart DS","DS",2005,"Racing","Nintendo",9.71,7.47,4.13,1.9,23.21,"Nintendo"
"14","Wii Fit","Wii",2007,"Sports","Nintendo",8.92,8.03,3.6,2.15,22.7,"Nintendo"
"15","Kinect Adventures!","X360",2010,"Misc","Microsoft Game Studios",15,4.89,0.24,1.69,21.81,"Good Science Studio"
"16","Wii Fit Plus","Wii",2009,"Sports","Nintendo",9.01,8.49,2.53,1.77,21.79,"Nintendo"
"17","Grand Theft Auto V","PS3",2013,"Action","Take-Two Interactive",7.02,9.09,0.98,3.96,21.04,"Rockstar North"
"18","Grand Theft Auto: San Andreas","PS2",2004,"Action","Take-Two Interactive",9.43,0.4,0.41,10.57,20.81,"Rockstar North"
"20","Brain Age: Train Your Brain in Minutes a Day","DS",2005,"Misc","Nintendo",4.74,9.2,4.16,2.04,20.15,"Nintendo"
"24","Grand Theft Auto V","X360",2013,"Action","Take-Two Interactive",9.66,5.14,0.06,1.41,16.27,"Rockstar North"
"25","Grand Theft Auto: Vice City","PS2",2002,"Action","Take-Two Interactive",8.41,5.49,0.47,1.78,16.15,"Rockstar North"
"27","Brain Age 2: More Training in Minutes a Day","DS",2005,"Puzzle","Nintendo",3.43,5.35,5.32,1.18,15.29,"Nintendo"
"29","Gran Turismo 3: A-Spec","PS2",2001,"Racing","Sony Computer Entertainment",6.85,5.09,1.87,1.16,14.98,"Polyphony Digital"
"30","Call of Duty: Modern Warfare 3","X360",2011,"Shooter","Activision",9.04,4.24,0.13,1.32,14.73,"Infinity Ward, Sledgehammer Games"
"33","Call of Duty: Black Ops","X360",2010,"Shooter","Activision",9.7,3.68,0.11,1.13,14.61,"Treyarch"
"35","Call of Duty: Black Ops II","PS3",2012,"Shooter","Activision",4.99,5.73,0.65,2.42,13.79,"Treyarch"
"36","Call of Duty: Black Ops II","X360",2012,"Shooter","Activision",8.25,4.24,0.07,1.12,13.67,"Treyarch"
"37","Call of Duty: Modern Warfare 2","X360",2009,"Shooter","Activision",8.52,3.59,0.08,1.28,13.47,"Infinity Ward"
"38","Call of Duty: Modern Warfare 3","PS3",2011,"Shooter","Activision",5.54,5.73,0.49,1.57,13.32,"Infinity Ward, Sledgehammer Games"
"39","Grand Theft Auto III","PS2",2001,"Action","Take-Two Interactive",6.99,4.51,0.3,1.3,13.1,"DMA Design"
"40","Super Smash Bros. Brawl","Wii",2008,"Fighting","Nintendo",6.62,2.55,2.66,1.01,12.84,"Game Arts"
"41","Mario Kart 7","3DS",2011,"Racing","Nintendo",5.03,4.02,2.69,0.91,12.66,"Retro Studios, Entertainment Analysis & Development Division"
"42","Call of Duty: Black Ops","PS3",2010,"Shooter","Activision",5.99,4.37,0.48,1.79,12.63,"Treyarch"
"43","Grand Theft Auto V","PS4",2014,"Action","Take-Two Interactive",3.96,6.31,0.38,1.97,12.61,"Rockstar North"
"44","Animal Crossing: Wild World","DS",2005,"Simulation","Nintendo",2.5,3.45,5.33,0.86,12.13,"Nintendo"
"45","Halo 3","X360",2007,"Shooter","Microsoft Game Studios",7.97,2.81,0.13,1.21,12.12,"Bungie Software, Bungie"
"49","Gran Turismo 4","PS2",2004,"Racing","Sony Computer Entertainment",3.01,0.01,1.1,7.53,11.66,"Polyphony Digital"
"50","Super Mario Galaxy","Wii",2007,"Platform","Nintendo",6.06,3.35,1.2,0.74,11.35,"Nintendo"
"52","Grand Theft Auto IV","X360",2008,"Action","Take-Two Interactive",6.76,3.07,0.14,1.03,11.01,"Rockstar North"
"53","Gran Turismo","PS",1997,"Racing","Sony Computer Entertainment",4.02,3.87,2.54,0.52,10.95,"Polyphony Digital"
"54","Super Mario 3D Land","3DS",2011,"Platform","Nintendo",4.89,3,2.14,0.78,10.81,"Nintendo"
"55","Gran Turismo 5","PS3",2010,"Racing","Sony Computer Entertainment",2.96,4.82,0.81,2.11,10.7,"Polyphony Digital"
"56","Call of Duty: Modern Warfare 2","PS3",2009,"Shooter","Activision",4.99,3.64,0.38,1.6,10.6,"Infinity Ward"
"58","Grand Theft Auto IV","PS3",2008,"Action","Take-Two Interactive",4.76,3.69,0.44,1.61,10.5,"Rockstar North"
"61","Call of Duty: Ghosts","X360",2013,"Shooter","Activision",6.73,2.56,0.04,0.91,10.25,"Infinity Ward"
"62","Just Dance 3","Wii",2011,"Misc","Ubisoft",5.95,3.11,0,1.06,10.12,"Ubisoft"
"63","New Super Mario Bros. 2","3DS",2012,"Platform","Nintendo",3.66,3.14,2.47,0.63,9.9,"Nintendo"
"65","Halo: Reach","X360",2010,"Shooter","Microsoft Game Studios",7.04,1.95,0.08,0.79,9.86,"Bungie"
"66","Final Fantasy VII","PS",1997,"Role-Playing","Sony Computer Entertainment",3.01,2.47,3.28,0.96,9.72,"SquareSoft"
"67","Halo 4","X360",2012,"Shooter","Microsoft Game Studios",6.65,2.28,0.04,0.74,9.71,"343 Industries"
"68","Gran Turismo 2","PS",1999,"Racing","Sony Computer Entertainment",3.88,3.42,1.69,0.5,9.49,"Polyphony Digital"
"69","Just Dance 2","Wii",2010,"Misc","Ubisoft",5.8,2.85,0.01,0.78,9.44,"Ubisoft"
"70","Call of Duty: Ghosts","PS3",2013,"Shooter","Activision",4.1,3.63,0.38,1.25,9.36,"Infinity Ward"
"71","Call of Duty 4: Modern Warfare","X360",2007,"Shooter","Activision",5.93,2.36,0.13,0.9,9.31,"Infinity Ward"
"74","Animal Crossing: New Leaf","3DS",2012,"Simulation","Nintendo",2.03,2.36,4.39,0.39,9.16,"Nintendo"
"75","Mario Party DS","DS",2007,"Misc","Nintendo",4.4,1.85,1.98,0.68,8.91,"Hudson Soft"
"76","The Elder Scrolls V: Skyrim","X360",2011,"Role-Playing","Bethesda Softworks",5.05,2.79,0.1,0.85,8.79,"Bethesda Game Studios"
"78","FIFA 16","PS4",2015,"Sports","Electronic Arts",1.12,6.12,0.06,1.28,8.57,"EA Sports"
"79","Halo 2","XB",2004,"Shooter","Microsoft Game Studios",6.82,1.53,0.05,0.08,8.49,"Bungie Software"
"80","Wii Party","Wii",2010,"Misc","Nintendo",1.75,3.47,2.49,0.67,8.38,"Nd Cube"
"81","Mario Party 8","Wii",2007,"Misc","Nintendo",3.74,2.24,1.58,0.7,8.27,"Hudson"
"82","FIFA Soccer 13","PS3",2012,"Action","Electronic Arts",1.06,5.01,0.13,1.97,8.16,"Electronic Arts"
"85","Final Fantasy X","PS2",2001,"Role-Playing","Sony Computer Entertainment",2.91,2.07,2.73,0.33,8.05,"SquareSoft"
"86","The Sims 3","PC",2009,"Simulation","Electronic Arts",0.99,6.42,0,0.6,8.01,"The Sims Studio"
"89","Final Fantasy VIII","PS",1999,"Role-Playing","SquareSoft",2.28,1.72,3.63,0.23,7.86,"SquareSoft"
"91","Pokémon Platinum Version","DS",2008,"Role-Playing","Nintendo",2.76,1.72,2.69,0.54,7.72,"Game Freak"
"92","Grand Theft Auto: Liberty City Stories","PSP",2005,"Action","Take-Two Interactive",2.9,2.81,0.24,1.73,7.69,"Rockstar Leeds"
"93","Call of Duty: Advanced Warfare","PS4",2014,"Shooter","Activision",2.81,3.48,0.14,1.23,7.66,"Sledgehammer Games"
"95","FIFA 17","PS4",2016,"Sports","Electronic Arts",0.66,5.75,0.08,1.11,7.59,"EA Sports, EA Vancouver"
"98","Super Mario Galaxy 2","Wii",2010,"Platform","Nintendo",3.56,2.35,0.98,0.62,7.51,"Nintendo EAD Tokyo"
"101","Call of Duty: World at War","X360",2008,"Shooter","Activision",4.81,1.88,0,0.69,7.38,"Treyarch"
"102","Battlefield 3","X360",2011,"Shooter","Electronic Arts",4.46,2.11,0.06,0.69,7.32,"EA DICE"
"103","Need for Speed Underground","PS2",2003,"Racing","Electronic Arts",3.27,2.83,0.08,1.02,7.2,"EA Black Box"
"104","Just Dance","Wii",2009,"Misc","Ubisoft",3.48,2.99,0,0.73,7.2,"Ubisoft Paris"
"105","Battlefield 3","PS3",2011,"Shooter","Electronic Arts",2.85,2.89,0.35,1.08,7.17,"EA DICE"
"106","Fallout 4","PS4",2015,"Role-Playing","Bethesda Softworks",2.53,3.27,0.24,1.13,7.16,"Bethesda Game Studios"
"107","Tekken 3","PS",1998,"Fighting","Sony Computer Entertainment",3.27,2.22,1.4,0.29,7.16,"Namco"
"108","The Legend of Zelda: Twilight Princess","Wii",2006,"Action","Nintendo",3.74,2.14,0.6,0.68,7.15,"Nintendo"
"110","Crash Bandicoot 3: Warped","PS",1998,"Platform","Sony Computer Entertainment",3.68,1.75,1.42,0.28,7.13,"Naughty Dog"
"111","Mario Kart 8","WiiU",2014,"Racing","Nintendo",3.15,2.15,1.28,0.51,7.09,"Nintendo"
"112","Super Smash Bros. Melee","GC",2001,"Fighting","Nintendo",4.41,1.04,1.39,0.22,7.07,"HAL Labs"
"114","Need for Speed Underground 2","PS2",2004,"Racing","Electronic Arts",2.71,3.02,0.08,1.09,6.9,"EA Canada"
"115","Medal of Honor: Frontline","PS2",2002,"Shooter","Electronic Arts",2.93,2.75,0.17,0.99,6.83,"EA LA"
"117","Just Dance 4","Wii",2012,"Misc","Ubisoft",4.05,2.16,0,0.55,6.76,"Ubisoft"
"118","Gears of War 2","X360",2008,"Shooter","Microsoft Game Studios",4.15,1.9,0.06,0.64,6.75,"Epic Games"
"119","Uncharted 3: Drake's Deception","PS3",2011,"Action","Sony Computer Entertainment",2.77,2.75,0.19,1.03,6.74,"Naughty Dog"
"120","Zumba Fitness","Wii",2010,"Sports","505 Games",3.45,2.59,0,0.66,6.71,"Pipeworks Software, Inc."
"121","Call of Duty 4: Modern Warfare","PS3",2007,"Shooter","Activision",3.11,2.26,0.28,1.03,6.68,"Infinity Ward"
"122","Uncharted 2: Among Thieves","PS3",2009,"Action","Sony Computer Entertainment",3.27,2.2,0.21,0.98,6.66,"Naughty Dog"
"124","Big Brain Academy","DS",2005,"Misc","Nintendo",1.66,2.75,1.6,0.62,6.62,"Nintendo"
"126","Red Dead Redemption","PS3",2010,"Action","Take-Two Interactive",2.79,2.53,0.17,0.99,6.49,"Rockstar San Diego"
"127","FIFA 14","PS3",2013,"Sports","Electronic Arts",0.78,4.24,0.07,1.37,6.47,"EA Canada"
"128","Assassin's Creed III","PS3",2012,"Action","Ubisoft",2.64,2.52,0.16,1.12,6.45,"Ubisoft"
"129","Donkey Kong Country Returns","Wii",2010,"Platform","Nintendo",3.17,1.79,1.03,0.46,6.44,"Retro Studios"
"130","Halo: Combat Evolved","XB",2001,"Shooter","Microsoft Game Studios",4.98,1.3,0.08,0.07,6.43,"Bungie Software"
"131","The Elder Scrolls V: Skyrim","PS3",2011,"Role-Playing","Bethesda Softworks",2.55,2.6,0.25,1,6.41,"Bethesda Game Studios"
"132","Pokémon Emerald Version","GBA",2004,"Role-Playing","Nintendo",2.57,1.58,2.06,0.21,6.41,"Game Freak"
"133","Kingdom Hearts","PS2",2002,"Role-Playing","Sony Computer Entertainment",3.64,1.2,1.49,0.07,6.4,"SquareSoft"
"135","Halo 3: ODST","X360",2009,"Shooter","Microsoft Game Studios",4.34,1.34,0.06,0.61,6.34,"Bungie Software, Bungie"
"136","Red Dead Redemption","X360",2010,"Action","Take-Two Interactive",3.7,1.95,0.09,0.58,6.32,"Rockstar San Diego"
"137","Super Mario Sunshine","GC",2002,"Platform","Nintendo",4.01,1.26,0.87,0.17,6.31,"Nintendo"
"139","World of Warcraft","PC",2004,"Role-Playing","Activision",0.08,6.21,0,0,6.29,"Blizzard Entertainment"
"140","Driver","PS",1999,"Action","GT Interactive",3.11,2.8,0.02,0.33,6.27,"Reflections Interactive"
"141","Gears of War 3","X360",2011,"Shooter","Microsoft Game Studios",4.05,1.59,0.07,0.5,6.21,"Epic Games"
"142","Kinect Sports","X360",2010,"Sports","Microsoft Game Studios",3.92,1.73,0.03,0.51,6.19,"Rare Ltd."
"143","Gears of War","X360",2006,"Shooter","Microsoft Game Studios",3.54,1.88,0.07,0.6,6.09,"Epic Games"
